critic,fresh,publication,quote,review_date,imdb,rtid,title
,fresh,USA Today,A calculated but very entertaining special effects extravaganza.,2000-01-01,113497,12436,Jumanji
,rotten,Entertainment Weekly,,1995-12-15,113497,12436,Jumanji
Brian Lowry,none,Variety,,2010-10-06,107050,10498,Grumpy Old Men
,none,Variety,,2009-03-26,107050,10498,Grumpy Old Men
Richard Schickel,fresh,TIME Magazine,Walter Matthau and Jack Lemmon are awfully good at this sort of thing.,2008-08-24,107050,10498,Grumpy Old Men
Derek Adams,rotten,Time Out,"Mediocre, regrettably.",2006-06-24,107050,10498,Grumpy Old Men
Caryn James,fresh,New York Times,"Just don't expect their bickering to be on the level of Neil Simon, and you won't be disappointed.",2003-05-20,107050,10498,Grumpy Old Men
James Berardinelli,fresh,ReelViews,"While it won't come close to my top 10 best list for 1993, it will be right up there among the pictures that I had the most fun watching.",2000-01-01,107050,10498,Grumpy Old Men
Roger Ebert,rotten,Chicago Sun-Times,"The movie is too pat and practiced to really be convincing, and the progress of Ariel's relationships with the two grumps seems dictated mostly by the needs of the screenplay.",2000-01-01,107050,10498,Grumpy Old Men
Desson Thomson,fresh,Washington Post,"If you poke through Grumpy's cheap sentimentality, you'll find a worthy picture somewhere.",2000-01-01,107050,10498,Grumpy Old Men
,fresh,Entertainment Weekly,,1993-12-24,107050,10498,Grumpy Old Men
Godfrey Cheshire,none,Variety,,2009-03-26,114885,16697,Waiting to Exhale
David Ansen,none,Newsweek,,2008-03-31,114885,16697,Waiting to Exhale
,none,Time Out,,2006-01-26,114885,16697,Waiting to Exhale
Stephen Holden,none,New York Times,,2003-05-20,114885,16697,Waiting to Exhale
Liam Lacey,rotten,Globe and Mail,Never escapes the queasy aura of Melrose Place: just another story about beautiful people with small problems.,2002-04-12,114885,16697,Waiting to Exhale
Kenneth Turan,fresh,Los Angeles Times,A pleasant if undemanding piece of work that is diverting to sit through though it won't stand up to any kind of rigorous examination.,2001-02-13,114885,16697,Waiting to Exhale
Edward Guthmann,rotten,San Francisco Chronicle,"You want the movie to stomp and rejoice and cry like a fool; instead it meanders and lollygags, occasionally flaring up, then sputtering again.",2000-01-01,114885,16697,Waiting to Exhale
Desson Thomson,fresh,Washington Post,This sister-celebratory adaptation of Terry McMillan's best-selling book is frequently delightful.,2000-01-01,114885,16697,Waiting to Exhale
Joan Walsh,rotten,Salon.com,"The male-bashing taken to an extreme in Waiting to Exhale is starting to seem a little like crack for the female psyche, exhilarating in the short term but ultimately crippling and dangerous.",2000-01-01,114885,16697,Waiting to Exhale
Susan Wloszczyna,fresh,USA Today,"Whitaker clumsily mishandles what should be a 'you go, girl!' tour de force.",2000-01-01,114885,16697,Waiting to Exhale
Susan Stark,rotten,Detroit News,"For all the pleasure there is in seeing effective, great-looking black women grappling with major life issues on screen, Waiting to Exhale is an uneven piece.",2000-01-01,114885,16697,Waiting to Exhale
James Berardinelli,rotten,ReelViews,"With the exception of Bernadine, I never felt anything for the women populating this film, as they failed to capture my interest or sympathy.",2000-01-01,114885,16697,Waiting to Exhale
Roger Ebert,fresh,Chicago Sun-Times,"An escapist fantasy that women in the audience can enjoy by musing, 'I wish I had her problems' - and her car, house, wardrobe, figure and men, even wrong men.",2000-01-01,114885,16697,Waiting to Exhale
,fresh,Entertainment Weekly,,1995-12-22,114885,16697,Waiting to Exhale
Brian Lowry,none,Variety,,2009-03-26,113041,10379,Father of the Bride Part II
,none,Time Out,,2006-01-26,113041,10379,Father of the Bride Part II
Janet Maslin,none,New York Times,,2003-05-20,113041,10379,Father of the Bride Part II
Peter Stack,none,San Francisco Chronicle,,2002-06-18,113041,10379,Father of the Bride Part II
,none,Globe and Mail,,2002-04-12,113041,10379,Father of the Bride Part II
Kevin Thomas,none,Los Angeles Times,,2001-02-13,113041,10379,Father of the Bride Part II
Mike Clark,rotten,USA Today,"Martin, Keaton and cinematographer William A. Fraker put this retro fluff over better than expected early on, but hour 2 is only for those who don't want their equilibriums rattled by surprises.",2000-01-01,113041,10379,Father of the Bride Part II
Roger Ebert,rotten,Chicago Sun-Times,,2000-01-01,113041,10379,Father of the Bride Part II
Susan Stark,rotten,Detroit News,,2000-01-01,113041,10379,Father of the Bride Part II
Hal Hinson,none,Washington Post,,2000-01-01,113041,10379,Father of the Bride Part II
James Berardinelli,rotten,ReelViews,,2000-01-01,113041,10379,Father of the Bride Part II
Desson Thomson,none,Washington Post,,2000-01-01,113041,10379,Father of the Bride Part II
,fresh,Entertainment Weekly,,1995-12-08,113041,10379,Father of the Bride Part II
Michael Wilmington,fresh,Chicago Tribune,"When Pacino's loud, bruised cop and De Niro's canny crook stare at each other, you can read something spent and weary in their eyes and voices. The heat is hell. So are their jobs -- but somebody's got to do them.",2014-04-29,113277,13098,Heat
Anthony Lane,fresh,New Yorker,"The taciturn De Niro and the braying Pacino share a flawless scene over a cup of coffee, but the real honors go to Val Kilmer and Ashley Judd as a warring, loving couple.",2014-04-29,113277,13098,Heat
Steven Rea,rotten,Philadelphia Inquirer,"So why doesn't Heat, with its elaborately staged, tautly edited robberies, its killer cast, edgy score and elegant cinematography, offer more satisfaction? It's the script, stupid.",2014-04-29,113277,13098,Heat
David Ansen,rotten,Newsweek,"Just when it seemed that the only hope for crime movies lay in the postmodernist artifice of films like Pulp Fiction, Mann reinvests the genre with brooding, modernist conviction. This one sticks to your gut.",2014-04-29,113277,13098,Heat
Jonathan Rosenbaum,fresh,Chicago Reader,"There's nothing really new in this lengthy 1995 thriller by writer-director Michael Mann about cops and robbers in Los Angeles, but it has craft, pacing, and an overall sense of proportion, three pretty rare classic virtues nowadays.",2014-04-29,113277,13098,Heat
Dave Kehr,fresh,New York Daily News,"An odd though often entertaining blend of The Asphalt Jungle and Oprah, a traditional cops-and-robbers story weirdly fitted out with long, earnest discussions of interpersonal relationships.",2014-04-29,113277,13098,Heat
Jay Boyar,fresh,Orlando Sentinel,"There isn't much going on at this party other than what the actors bring to it. But fortunately, Mann has invited some exceptional ones.",2014-04-29,113277,13098,Heat
John Hartl,fresh,Seattle Times,Heat becomes consistently more interesting as it forges on toward the 180-minute mark.,2014-04-29,113277,13098,Heat
Todd McCarthy,fresh,Variety,Heat occupies an exalted position among the countless contemporary crime films.,2008-10-16,113277,13098,Heat
Peter Travers,fresh,Rolling Stone,Robert De Niro's last great role before he devoted himself to self-parody.,2007-08-14,113277,13098,Heat
Geoff Andrew,fresh,Time Out,"This is simply the best American crime movie -- and indeed, one of the finest movies, period -- in over a decade.",2006-02-09,113277,13098,Heat
Janet Maslin,rotten,New York Times,"As Heat progresses, its sensational looks pale beside storytelling weaknesses that expose the more soulless aspects of this cat-and-mouse crime tale.",2003-05-20,113277,13098,Heat
Kenneth Turan,fresh,Los Angeles Times,"Michael Mann and a superlative cast have taken a classic heist movie rife with familiar genre elements and turned it into a sleek, accomplished piece of work, meticulously controlled and completely involving.",2001-02-13,113277,13098,Heat
Andrew Ross,rotten,Salon.com,"All the squealing tires, flying bullets and falling bodies cannot save Heat from drowning in its own banalities.",2000-01-01,113277,13098,Heat
Roger Ebert,fresh,Chicago Sun-Times,Michael Mann's writing and direction elevate this material. It's not just an action picture.,2000-01-01,113277,13098,Heat
James Berardinelli,rotten,ReelViews,... a colossal disappointment.,2000-01-01,113277,13098,Heat
Sean Means,fresh,Film.com,Heat generates lots of energy but gives off little light.,2000-01-01,113277,13098,Heat
Susan Stark,fresh,Detroit News,Boosters and touts use the term 'major movie' so often that it's more likely to generate yawns than excitement at this point. Back to basics. Heat is a major movie. With major stars. Doing major acting.,2000-01-01,113277,13098,Heat
Edward Guthmann,fresh,San Francisco Chronicle,"This is the first time De Niro and Pacino have acted together, and each gives a strong, watertight performance.",2000-01-01,113277,13098,Heat
Andy Spletzer,fresh,Film.com,The cop/ crime stuff that makes up the bulk of the movie is well thought out and well directed.,2000-01-01,113277,13098,Heat
,fresh,TIME Magazine,"This is never less than glittering entertainment, but somehow a certain measure of lead has found its way into the formula.",2009-02-03,47437,18228,Sabrina
Variety Staff,fresh,Variety,"Script is long on glibly quipping dialog, dropped with a seemingly casual air, and broadly played situations. The splendid trouping delivers them style. Leavening the chuckles are tugs at the heart.",2008-10-18,47437,18228,Sabrina
Dave Kehr,fresh,Chicago Reader,Wilder's tastelessness now seems his major artistic strength.,2007-08-15,47437,18228,Sabrina
Derek Adams,fresh,Time Out,"It's a Cinderella story that gets turned on its head, a satire about breaking down class and emotional barriers, and a confrontation between New World callousness and Old World humanity.",2006-06-24,47437,18228,Sabrina
James Berardinelli,fresh,ReelViews,"Hampered by an unimaginative script ... nevertheless manages to be a thoroughly charming, delightfully romantic variation of the Cinderella story.",2000-01-01,47437,18228,Sabrina
Bosley Crowther,fresh,New York Times,"It is a story as light as a feather and as old as yesterday's news, as transparent as a society column item and as smug as a foreign-made car. But Mr. Wilder...has made it into a commentary as crisp as a screed in a smart magazine.",2000-01-01,47437,18228,Sabrina
Joe Leydon,none,Variety,,2009-03-26,112302,11639,Tom and Huck
Hal Hinson,none,Washington Post,,2000-01-01,112302,11639,Tom and Huck
Stephen Holden,none,New York Times,,2000-01-01,112302,11639,Tom and Huck
Susan Wloszczyna,rotten,USA Today,A joyless lump.,2000-01-01,112302,11639,Tom and Huck
Peter Stack,none,San Francisco Chronicle,,2000-01-01,112302,11639,Tom and Huck
Susan Stark,fresh,Detroit News,,2000-01-01,112302,11639,Tom and Huck
Kevin McManus,none,Washington Post,,2000-01-01,112302,11639,Tom and Huck
,rotten,Entertainment Weekly,,2010-12-27,114576,15378,Sudden Death
Derek Elley,none,Variety,,2009-03-26,114576,15378,Sudden Death
Geoff Andrew,fresh,Time Out,"Reuniting Hyams and Van Damme, director and star of Timecop, this spectacular nail-biter exploits their combined, if limited, abilities to the full.",2006-02-09,114576,15378,Sudden Death
Stephen Holden,fresh,New York Times,"Offers above-average pyrotechnics, a body count that steadily mounts, and plenty of hand-to-hand combat.",2003-05-20,114576,15378,Sudden Death
Mick LaSalle,fresh,San Francisco Chronicle,Sudden Death is one of the best action thrillers of 1995. It's also the film Jean-Claude Van Damme has been building up to for 10 years.,2002-06-18,114576,15378,Sudden Death
Peter Travers,rotten,Rolling Stone,"Despite the elaborate stunts, go-go-go direction from Peter Hyams, plus butt-kicking and surprise goalie action from Van Damme, Death deserves the hockey-puck booby prize for...getting its jollies by putting kids in jeopardy.",2001-05-12,114576,15378,Sudden Death
Kevin Thomas,fresh,Los Angeles Times,"A treat for Jean-Claude Van Damme fans, a superior action thriller loaded with jaw-dropping stunts and special effects, and strong in production values.",2001-02-13,114576,15378,Sudden Death
Roger Ebert,fresh,Chicago Sun-Times,"Sudden Death isn't about common sense. It's about the manipulation of action and special-effects sequences to create a thriller effect, and at that it's pretty good.",2000-01-01,114576,15378,Sudden Death
Richard Harrington,fresh,Washington Post,"Though the climactic duel atop the arena roof is patently absurd, it's also exciting as events go into sudden-death overtime, just like the game being played below.",2000-01-01,114576,15378,Sudden Death
Desson Thomson,rotten,Washington Post,"Van Damme races against time, trying to thwart Boothe and defuse all the bombs. But in the hands of director Peter Hyams, these are just banal action-movie chores.",2000-01-01,114576,15378,Sudden Death
Susan Stark,rotten,Detroit News,,2000-01-01,114576,15378,Sudden Death
James Berardinelli,rotten,ReelViews,"About the best thing that can be said about this movie is that the action scenes, directed by Peter Hyams, are choreographed with flair. Unfortunately, the material connecting them is worthless.",2000-01-01,114576,15378,Sudden Death
Anthony Lane,fresh,New Yorker,"Brosnan, however, looks set to stay. He'll never recapture the amused cool of the young Sean Connery, but he does overcome the handicap of looking like a humorless male model.",2012-10-23,113189,12812,GoldenEye
Owen Gleiberman,rotten,Entertainment Weekly,"I don't know whether the Bond series has a future, but if Xenia Onatopp ever returns to try for world domination, he may finally get a battle worth fighting.",2008-10-13,113189,12812,GoldenEye
Jonathan Rosenbaum,fresh,Chicago Reader,"There's something a mite pathetic about our culture still clinging to 007, but it's hard to deny that this is one of the most entertaining entries in the Bond cycle.",2008-10-13,113189,12812,GoldenEye
Richard Schickel,rotten,TIME Magazine,"Richard Kiel, you are missed.",2008-10-13,113189,12812,GoldenEye
Todd McCarthy,fresh,Variety,"Among the better of the 17 Bonds and, perhaps more important for today's audience, a dynamic action entry in its own right, this first 007 adventure in six years breathes fresh creative and commercial life into the 33-year-old series.",2008-10-02,113189,12812,GoldenEye
,fresh,Time Out,Director Campbell keeps matters bowling along and even manages to recapture something of the look of the earlier films.,2006-02-09,113189,12812,GoldenEye
Janet Maslin,rotten,New York Times,Suffers the blahs.,2003-05-20,113189,12812,GoldenEye
Peter Stack,fresh,San Francisco Chronicle,"Supercharged with spectacular, thundering, brain-numbing fun.",2002-06-18,113189,12812,GoldenEye
Rick Groen,rotten,Globe and Mail,"They have given James a new car here, but it's the same old vanity plate, the one that should read: Je Me Souviens.",2002-04-12,113189,12812,GoldenEye
Kenneth Turan,rotten,Los Angeles Times,"A reasonable facsimile more than any kind of original, and it's hard not to feel a certain weariness while watching it unfold.",2001-02-13,113189,12812,GoldenEye
Susan Wloszczyna,fresh,USA Today,It's BS -- Babes and Stunts -- and that's where GoldenEye excels.,2000-01-01,113189,12812,GoldenEye
Hal Hinson,fresh,Washington Post,Directed with top-dollar proficiency (and some real wit).,2000-01-01,113189,12812,GoldenEye
James Berardinelli,fresh,ReelViews,Perhaps the best entry in the series since The Spy Who Loved Me.,2000-01-01,113189,12812,GoldenEye
Roger Ebert,fresh,Chicago Sun-Times,"Watching the film, I got caught up in the special effects and the neat stunts, and I observed with a certain satisfaction Bond's belated entry into a more modern world.",2000-01-01,113189,12812,GoldenEye
Susan Stark,fresh,Detroit News,,2000-01-01,113189,12812,GoldenEye
Geoff Andrew,fresh,Time Out,"Part romantic comedy, part Capra-corny political drama, this movie exudes so much sympathy, it sweats.",2006-06-24,112346,10129,The American President
Janet Maslin,fresh,New York Times,"With great looks, a dandy supporting cast, a zinger-filled screenplay by Aaron Sorkin and Mr. Douglas twinkling merrily in the Oval Office, The American President is sunny enough to make the real Presidency pale by comparison.",2003-05-20,112346,10129,The American President
Kenneth Turan,fresh,Los Angeles Times,Genial and entertaining if not notably inspired.,2001-02-13,112346,10129,The American President
,fresh,Variety,Genial middlebrow fare that coasts a long way on the charm of its two stars.,2001-02-13,112346,10129,The American President
Richard Corliss,fresh,TIME Magazine,As bustling and impassioned as the best Sturges and Capra movies.,2000-01-01,112346,10129,The American President
James Berardinelli,rotten,ReelViews,"Neither bad nor unwatchable, The American President is nevertheless the second straight disappointment from director Rob Reiner.",2000-01-01,112346,10129,The American President
Tom Keogh,fresh,Film.com,"You can't dislike this movie, but you won't be swept away by it either.",2000-01-01,112346,10129,The American President
Sean Means,fresh,Film.com,The American President will make you laugh and make you smile. But it probably won't make you change your vote.,2000-01-01,112346,10129,The American President
Susan Stark,fresh,Detroit News,"Apart from its too-obvious political bias, The American President has romance in its heart, smarts in abundance and class to spare.",2000-01-01,112346,10129,The American President
Roger Ebert,fresh,Chicago Sun-Times,Great entertainment.,2000-01-01,112346,10129,The American President
Desson Thomson,fresh,Washington Post,A well-modulated charmer.,2000-01-01,112346,10129,The American President
Paula Nechak,fresh,Film.com,The American President becomes a pretty darn entertaining and affecting movie after its first simpering 20 minutes.,2000-01-01,112346,10129,The American President
Rita Kempley,fresh,Washington Post,Frothy.,2000-01-01,112346,10129,The American President
Edward Guthmann,fresh,San Francisco Chronicle,"'Capraesque' has inevitably been affixed to The American President, but that phrase, with its implications of facile hokum, doesn't do the film justice.",2000-01-01,112346,10129,The American President
John Hartl,fresh,Film.com,Painless fun.,2000-01-01,112346,10129,The American President
Mike Clark,fresh,USA Today,A super cast injects it with Teddy Roosevelt vitality.,2000-01-01,112346,10129,The American President
Susan Rathke,rotten,Film.com,"When it comes right down to it, high office does not guarantee high comedy.",2000-01-01,112346,10129,The American President
Owen Gleiberman,fresh,Entertainment Weekly,"The image of a chief executive as moonstruck single guy taps something buoyant and touching in our collective democratic imagination. And Douglas, wearing a fast-break smile in place of his usual frown, strikes a tender rapport with Bening...",1995-11-17,112346,10129,The American President
Derek Elley,none,Variety,,2012-02-23,112896,10445,Dracula: Dead and Loving It
Jonathan Rosenbaum,rotten,Chicago Reader,Either this is the lamest Mel Brooks comedy ever or it's too close to other contenders to make much difference.,2009-10-20,112896,10445,Dracula: Dead and Loving It
Joe Leydon,rotten,Variety,"The only real sparks are set off by MacNicol as Renfield, the solicitor who develops a taste for flies and spiders after being bitten by Dracula.",2009-03-26,112896,10445,Dracula: Dead and Loving It
,rotten,Time Out,"Brooks, as Van Helsing, is one of the more successful aspects, but he hasn't imbued in his stock company a similar ability to rise above their underwritten roles.",2006-01-26,112896,10445,Dracula: Dead and Loving It
Janet Maslin,fresh,New York Times,Slight but amusing.,2003-05-20,112896,10445,Dracula: Dead and Loving It
David Kronke,rotten,Los Angeles Times,"Not to venture forth some sort of radical idea, but aren't comedies supposed to have jokes?",2002-08-15,112896,10445,Dracula: Dead and Loving It
James Berardinelli,rotten,ReelViews,It's a toothless parody that misses more often than it hits.,2000-01-01,112896,10445,Dracula: Dead and Loving It
Susan Stark,rotten,Detroit News,,2000-01-01,112896,10445,Dracula: Dead and Loving It
Hal Hinson,rotten,Washington Post,"This time, unfortunately, he's sucking on a dry vein.",2000-01-01,112896,10445,Dracula: Dead and Loving It
Susan Wloszczyna,rotten,USA Today,"If any movie proves that Mel Brooks' genius for skewering creaky genres has evaporated, it's this anemic attempt to draw new blood from low-flying vampire high jinks.",2000-01-01,112896,10445,Dracula: Dead and Loving It
Desson Thomson,rotten,Washington Post,"Dracula is anemic and mediocre, with only one or two moments to remind you of the former, funnier Brooks.",2000-01-01,112896,10445,Dracula: Dead and Loving It
Mick LaSalle,fresh,San Francisco Chronicle,"Nielsen makes a dapper and calmly inept Dracula, but it's Brooks' irrepressible and oblivious Van Helsing who's the main attraction.",2000-01-01,112896,10445,Dracula: Dead and Loving It
Brian Lowry,none,Variety,,2009-03-26,112453,9562,Balto
,none,Time Out,,2006-01-26,112453,9562,Balto
Stephen Holden,none,New York Times,,2003-05-20,112453,9562,Balto
David Kronke,none,Los Angeles Times,,2002-08-15,112453,9562,Balto
Peter Stack,none,San Francisco Chronicle,,2000-01-01,112453,9562,Balto
Susan Wloszczyna,rotten,USA Today,"The love story is pure mush, not helped by the bland voice work done by Kevin Bacon as Balto and Bridget Fonda as dainty husky Jenna.",2000-01-01,112453,9562,Balto
Kevin McManus,none,Washington Post,,2000-01-01,112453,9562,Balto
Roger Ebert,fresh,Chicago Sun-Times,,2000-01-01,112453,9562,Balto
James Berardinelli,rotten,ReelViews,,2000-01-01,112453,9562,Balto
Susan Stark,rotten,Detroit News,,2000-01-01,112453,9562,Balto
Rita Kempley,none,Washington Post,,2000-01-01,112453,9562,Balto
Owen Gleiberman,fresh,Entertainment Weekly,,2011-09-07,113987,16248,Nixon
Geoff Andrew,rotten,Time Out,"As wayward and self-regarding as its subject, the film long overstays its welcome.",2006-01-26,113987,16248,Nixon
Janet Maslin,fresh,New York Times,"What it finally adds up to is a huge mixed bag of waxworks and daring, a film that is furiously ambitious even when it goes flat, and startling even when it settles for eerie, movie-of-the-week mimicry.",2003-05-20,113987,16248,Nixon
,none,Globe and Mail,,2002-04-12,113987,16248,Nixon
Peter Travers,none,Rolling Stone,,2001-05-12,113987,16248,Nixon
Hal Hinson,fresh,Washington Post,"Without question, Nixon dwarfs everything in the American cinema since Schindler's List.",2001-02-16,113987,16248,Nixon
Kenneth Turan,fresh,Los Angeles Times,"Nixon starts, like a horror movie, on a dark and stormy night, with the president prowling around a room of the White House like Dracula in his lair.",2001-02-13,113987,16248,Nixon
Todd McCarthy,rotten,Variety,Nixon far overstays its welcome with an increasingly tedious final hour devoted largely to slogging through the minutiae of Watergate.,2001-02-13,113987,16248,Nixon
James Berardinelli,fresh,ReelViews,"Factual or not, there's no denying that Nixon has moments when it is nothing short of compelling.",2000-01-01,113987,16248,Nixon
John Hartl,rotten,Film.com,There's no compelling structure or viewpoint to hold the picture together.,2000-01-01,113987,16248,Nixon
Mick LaSalle,rotten,San Francisco Chronicle,The problem here isn't accuracy. It's absurdity.,2000-01-01,113987,16248,Nixon
Roger Ebert,fresh,Chicago Sun-Times,"Thoughts of Hamlet, Macbeth and King Lear come to mind; here, again, is a ruler destroyed by his fatal flaws. There's something almost majestic about the process: As Nixon goes down in this film, there is no gloating, but a watery sigh, as of a great ship",2000-01-01,113987,16248,Nixon
Susan Stark,fresh,Detroit News,"Thoughtful, well-researched and carefully modulated, the film also marks director Oliver Stone's coming of age.",2000-01-01,113987,16248,Nixon
Desson Thomson,fresh,Washington Post,You will not be bored.,2000-01-01,113987,16248,Nixon
Stanley Kauffmann,fresh,The New Republic,The picture is a case study.,2000-01-01,113987,16248,Nixon
Sean Means,fresh,Film.com,Casting Anthony Hopkins was a stroke of unexpected genius.,2000-01-01,113987,16248,Nixon
Emily White,rotten,Film.com,"Stone's no Shakespeare, and neither are his screenwriters.",2000-01-01,113987,16248,Nixon
Mike Clark,fresh,USA Today,Joan Allen goes beyond her chilling physical resemblance to Pat Nixon toward serious Oscar worthiness.,2000-01-01,113987,16248,Nixon
Lyall Bush,rotten,Film.com,I never felt that I was seeing the darkness reaching out to the darkness as Nixon was once described.,2000-01-01,113987,16248,Nixon
Richard Corliss,rotten,TIME Magazine,"Real life, if it's real Nixon, is more dramatic than an Oliver Stone movie.",2000-01-01,113987,16248,Nixon
Todd McCarthy,rotten,Variety,"What seemed like a dubious proposition on paper plays even more dubiously onscreen, as ""Cutthroat Island"" strenuously but vainly attempts to revive the thrills of old-fashioned pirate pictures.",2009-03-26,112760,10672,Cutthroat Island
Trevor Johnston,rotten,Time Out,"In this $90m revisionist swashbuckler, we get Geena Davis doing the all-action honours, and a hotchpotch script that seems to think pirate movies are so funny in themselves the need for more humour is superfluous.",2006-02-09,112760,10672,Cutthroat Island
Janet Maslin,rotten,New York Times,"t's not possible to believe that Ms. Davis is the highly respected captain of a pirate ship, and it's not even fun to try.",2003-05-20,112760,10672,Cutthroat Island
Peter Stack,rotten,San Francisco Chronicle,,2002-06-18,112760,10672,Cutthroat Island
,none,Globe and Mail,,2002-04-12,112760,10672,Cutthroat Island
Susan Wloszczyna,fresh,USA Today,"If the sight of half-naked, tattooed sailors firing cannons at each other shivers your timbers, climb aboard. Even passable pirate movies don't sail by every day.",2000-01-01,112760,10672,Cutthroat Island
Desson Thomson,rotten,Washington Post,It takes a two-hour act of will to keep facing the screen during this moribund movie.,2000-01-01,112760,10672,Cutthroat Island
Roger Ebert,fresh,Chicago Sun-Times,,2000-01-01,112760,10672,Cutthroat Island
Susan Stark,fresh,Detroit News,,2000-01-01,112760,10672,Cutthroat Island
James Berardinelli,rotten,ReelViews,,2000-01-01,112760,10672,Cutthroat Island
,rotten,Entertainment Weekly,,1995-12-22,112760,10672,Cutthroat Island
Owen Gleiberman,fresh,Entertainment Weekly,"[Stone] seems to be trying to enter a more passionate movie, where a neurotic gold digger could at least have a good time. By the end of Casino, for all its craftsmanly bravura, you may want to join her.",2010-01-25,112641,13456,Casino
Richard Schickel,fresh,TIME Magazine,"So long as Casino stays focused on the excesses -- of language, of violence, of ambition -- in the life-styles of the rich and infamous, it remains a smart, knowing, if often repetitive, spectacle.",2010-01-25,112641,13456,Casino
Jonathan Rosenbaum,rotten,Chicago Reader,Simultaneously quite watchable and passionless.,2010-01-25,112641,13456,Casino
Todd McCarthy,fresh,Variety,"Martin Scorsese's intimate epic about money, sex and brute force is a grandly conceived study of what happens to goodfellas from the mean streets when they outstrip their wildest dreams and achieve the pinnacle of wealth and power.",2008-05-16,112641,13456,Casino
David Ansen,rotten,Newsweek,"It's not the actors' fault that no one is able to break through the film's gorgeous but chilly surface. You watch Casino with respect and appreciation, reveling in its documentary sense of detail.",2008-03-31,112641,13456,Casino
